,id,Kelp,predictions
0,114119477.jpg,0,0.0023554966
1,145421813.jpg,0,0.009300936
2,80860744.jpg,0,0.007826046
3,146177426.jpg,0,0.046150845
4,145999432.jpg,0,0.43032813
5,126612552.jpg,0,0.08502848
6,142812618.jpg,0,0.019907951
7,109321856.jpg,0,0.0032745386
8,145156215.jpg,0,0.16662705
9,152202078.jpg,0,0.0074343476
10,107737263.jpg,0,0.04682637
11,141103681.jpg,0,0.0068968516
12,124834630.jpg,0,0.0028960754
13,117545135.jpg,0,0.081714146
14,133157330.jpg,0,0.05022397
15,140318727.jpg,0,0.020328812
16,90636136.jpg,0,0.0011138242
17,124352520.jpg,0,0.009215956
18,112461888.jpg,0,0.03151316
19,149356286.jpg,0,0.083616816
20,148597999.jpg,0,0.67470634
21,144012793.jpg,0,0.3186681
22,107290878.jpg,0,0.0015575442
23,106585638.jpg,0,0.9248436
24,134408718.jpg,0,0.09311996
25,140492934.jpg,0,0.2781021
26,106959272.jpg,0,0.006400348
27,76713925.jpg,0,0.1558027
28,145235398.jpg,0,0.41580462
29,108216098.jpg,0,0.052511837
30,103266930.jpg,0,0.009012142
31,106229479.jpg,0,0.025329344
32,129133706.jpg,0,0.5746159
33,106534520.jpg,0,0.7001929
34,123205301.jpg,0,0.0053891893
35,145253598.jpg,0,0.006008979
36,150482234.jpg,0,0.0045752544
37,119030788.jpg,0,0.018345596
38,166956411.jpg,0,0.009255114
39,132516665.jpg,0,0.02166408
40,166958160.jpg,0,0.65790015
41,149395189.jpg,0,0.14364475
42,68127349.jpg,0,0.09858272
43,111587018.jpg,0,0.18364981
44,104495107.jpg,0,0.2100873
45,120641940.jpg,0,0.005440072
46,76713886.jpg,0,0.17269275
47,161575291.jpg,0,0.41646883
48,69336235.jpg,0,0.010015594
49,145402331.jpg,0,0.0017507552
50,124502241.jpg,0,0.022594098
51,157986855.jpg,0,0.0648153
52,114618439.jpg,0,0.005254166
53,110626566.jpg,0,0.21364278
54,107737294.jpg,0,0.023255883
55,146738466.jpg,0,0.0038692239
56,145154095.jpg,0,0.17421383
57,105401501.jpg,0,0.014374417
58,154779878.jpg,0,0.0022705952
59,150515768.jpg,0,0.29561746
60,73563858.jpg,0,0.027390067
61,146738507.jpg,0,0.11445085
62,148086538.jpg,0,0.015620741
63,124522796.jpg,0,0.0134175895
64,163637080.jpg,0,0.056486495
65,110250162.jpg,0,0.95315605
66,105604288.jpg,0,0.034383517
