,id,Kelp,predictions
0,114119477.jpg,0,0.025406223
1,145421813.jpg,0,0.021771286
2,80860744.jpg,0,0.017741792
3,146177426.jpg,0,0.31684875
4,145999432.jpg,0,0.062524125
5,126612552.jpg,0,0.05176201
6,142812618.jpg,0,0.006152036
7,109321856.jpg,0,0.026597328
8,145156215.jpg,0,0.18774636
9,152202078.jpg,0,0.0026475503
10,107737263.jpg,0,0.29040328
11,141103681.jpg,0,0.0022386243
12,124834630.jpg,0,0.021373227
13,117545135.jpg,0,0.029073194
14,133157330.jpg,0,0.0038586392
15,140318727.jpg,0,0.016710736
16,90636136.jpg,0,0.0016392182
17,124352520.jpg,0,0.03840548
18,112461888.jpg,0,0.035524737
19,149356286.jpg,0,0.06427461
20,148597999.jpg,0,0.2865059
21,144012793.jpg,0,0.07939656
22,107290878.jpg,0,0.0033518341
23,106585638.jpg,0,0.07883958
24,134408718.jpg,0,0.041940946
25,140492934.jpg,0,0.094368555
26,106959272.jpg,0,0.011003894
27,76713925.jpg,0,0.015856609
28,145235398.jpg,0,0.21995793
29,108216098.jpg,0,0.0139877945
30,103266930.jpg,0,0.017281963
31,106229479.jpg,0,0.07412861
32,129133706.jpg,0,0.60324395
33,106534520.jpg,0,0.23437007
34,123205301.jpg,0,0.029465474
35,145253598.jpg,0,0.0026760865
36,150482234.jpg,0,0.00802542
37,119030788.jpg,0,0.010175069
38,166956411.jpg,0,0.023152858
39,132516665.jpg,0,0.014632546
40,166958160.jpg,0,0.16971853
41,149395189.jpg,0,0.06704567
42,68127349.jpg,0,0.083395675
43,111587018.jpg,0,0.1887715
44,104495107.jpg,0,0.012035463
45,120641940.jpg,0,0.002910791
46,76713886.jpg,0,0.009497325
47,161575291.jpg,0,0.045971435
48,69336235.jpg,0,0.05146366
49,145402331.jpg,0,0.009528334
50,124502241.jpg,0,0.007873152
51,157986855.jpg,0,0.0047446527
52,114618439.jpg,0,0.034963362
53,110626566.jpg,0,0.24968095
54,107737294.jpg,0,0.007834582
55,146738466.jpg,0,0.02603063
56,145154095.jpg,0,0.7157161
57,105401501.jpg,0,0.0072597875
58,154779878.jpg,0,0.0117082065
59,150515768.jpg,0,0.001024509
60,73563858.jpg,0,0.0020426481
61,146738507.jpg,0,0.074272096
62,148086538.jpg,0,0.0061828904
63,124522796.jpg,0,0.06917836
64,163637080.jpg,0,0.06746096
65,110250162.jpg,0,0.8069973
66,105604288.jpg,0,0.009318092
67,88494723.jpg,0,0.1471702
68,113759805.jpg,0,0.017285112
69,141243430.jpg,0,0.15540162
70,123798402.jpg,0,0.0057618143
71,156697666.jpg,0,0.0034645642
72,123655821.jpg,0,0.0007511059
73,73469215.jpg,0,0.00890746
74,112484318.jpg,0,0.08764679
75,154779862.jpg,0,0.0059443363
76,68127355.jpg,0,0.21640201
77,129779582.jpg,0,0.11157452
78,67445785.jpg,0,0.31866217
79,148598017.jpg,0,0.34845373
80,106582714.jpg,0,0.0014744301
81,115857925.jpg,0,0.0017622572
82,141134272.jpg,0,0.04911896
83,145810042.jpg,0,0.0007763307
84,107364165.jpg,0,0.21628954
85,145875539.jpg,0,0.03825303
86,154779879.jpg,0,0.048047874
87,144829617.jpg,0,0.024686243
88,153926251.jpg,0,0.0015389059
89,112956024.jpg,0,0.0040495624
90,106534553.jpg,0,0.0070357104
91,109517548.jpg,0,0.00046498387
92,151187931.jpg,0,0.030620737
93,106216420.jpg,0,0.05790886
94,105902426.jpg,0,0.008096601
95,107528995.jpg,0,0.07521293
96,134408815.jpg,0,0.005854977
97,113635804.jpg,0,0.015870605
98,105295716.jpg,0,0.0010400389
99,124526231.jpg,0,0.16065891
100,109358476.jpg,0,0.010577693
101,88494721.jpg,0,0.36721534
102,107941207.jpg,0,0.027347187
103,106842875.jpg,0,0.15392205
104,116052231.jpg,0,0.06170269
105,139611883.jpg,0,0.0032298062
106,115987067.jpg,0,0.0035900665
107,163283309.jpg,0,0.0505638
108,106308964.jpg,0,0.0043986286
109,80860740.jpg,0,0.3357317
110,150519197.jpg,0,0.00044528206
111,161214312.jpg,0,0.006688206
112,117847727.jpg,0,0.0019966557
113,161214684.jpg,0,0.009804436
114,112956020.jpg,0,0.0035673415
115,108220244.jpg,0,0.020446273
116,109183837.jpg,0,0.010763994
117,155868703.jpg,0,0.031217061
118,105717741.jpg,0,0.0031141187
119,107209591.jpg,0,0.013218348
120,106110267.jpg,0,0.0040848344
121,143165941.jpg,0,0.017735576
122,95123132.jpg,0,0.0006650878
123,139941723.jpg,0,0.37326583
124,135606610.jpg,0,0.025955705
125,111167860.jpg,0,0.0012695241
126,135995387.jpg,0,0.00864086
127,139410107.jpg,0,0.008860989
128,73251143.jpg,0,0.0021870171
129,105304081.jpg,0,0.022115689
130,123214773.jpg,0,0.0006501689
131,145497101.jpg,0,0.23376684
132,79112657.jpg,0,0.005135509
133,145155393.jpg,0,0.012124047
134,130565907.jpg,0,0.0025877156
135,112484312.jpg,1,0.993131
136,106308968.jpg,1,0.2883847
137,144274944.jpg,1,0.7005054
138,70245789.jpg,1,0.9725223
139,148510239.jpg,1,0.88326275
140,144128398.jpg,1,0.9652812
141,73473799.jpg,1,0.20192716
142,105903250.jpg,1,0.024686603
143,108645346.jpg,1,0.9921422
