,id,Kelp,predictions
0,114119477.jpg,0,0.0026192202
1,145421813.jpg,0,0.013727934
2,80860744.jpg,0,0.024952382
3,146177426.jpg,0,0.27089363
4,145999432.jpg,0,0.24914752
5,126612552.jpg,0,0.028761633
6,142812618.jpg,0,0.04698412
7,109321856.jpg,0,0.035619505
8,145156215.jpg,0,0.15391408
9,152202078.jpg,0,0.04410698
10,107737263.jpg,0,0.23325735
11,141103681.jpg,0,0.012867767
12,124834630.jpg,0,0.01586115
13,117545135.jpg,0,0.07731332
14,133157330.jpg,0,0.029328318
15,140318727.jpg,0,0.07073729
16,90636136.jpg,0,0.0011761991
17,124352520.jpg,0,0.016624518
18,112461888.jpg,0,0.035925347
19,149356286.jpg,0,0.039630927
20,148597999.jpg,0,0.52136344
21,144012793.jpg,0,0.046627004
22,107290878.jpg,0,0.014925218
23,106585638.jpg,0,0.41119808
24,134408718.jpg,0,0.013035071
25,140492934.jpg,0,0.15282027
26,106959272.jpg,0,0.012511639
27,76713925.jpg,0,0.3598297
28,145235398.jpg,0,0.23326813
29,108216098.jpg,0,0.040219016
30,103266930.jpg,0,0.01831579
31,106229479.jpg,0,0.06380705
32,129133706.jpg,0,0.24320251
33,106534520.jpg,0,0.564489
34,123205301.jpg,0,0.021036748
35,145253598.jpg,0,0.005265486
36,150482234.jpg,0,0.017992737
37,119030788.jpg,0,0.012316165
38,166956411.jpg,0,0.012266334
39,132516665.jpg,0,0.009700741
40,166958160.jpg,0,0.4903734
41,149395189.jpg,0,0.20231329
42,68127349.jpg,0,0.07818367
43,111587018.jpg,0,0.07702813
44,104495107.jpg,0,0.060036495
45,120641940.jpg,0,0.0014388353
46,76713886.jpg,0,0.06675824
47,161575291.jpg,0,0.3864635
48,69336235.jpg,0,0.049535185
49,145402331.jpg,0,0.0070720473
50,124502241.jpg,0,0.020507412
51,157986855.jpg,0,0.027609935
52,114618439.jpg,0,0.013349469
53,110626566.jpg,0,0.30228776
54,107737294.jpg,0,0.023651678
55,146738466.jpg,0,0.01072246
56,145154095.jpg,0,0.25102213
57,105401501.jpg,0,0.006278191
58,154779878.jpg,0,0.013420083
59,150515768.jpg,0,0.11497249
60,73563858.jpg,0,0.006986879
61,146738507.jpg,0,0.07015423
62,148086538.jpg,0,0.03125521
63,124522796.jpg,0,0.049701646
64,163637080.jpg,0,0.121730074
65,110250162.jpg,0,0.83890575
66,105604288.jpg,0,0.054931995
67,88494723.jpg,0,0.2233812
68,113759805.jpg,0,0.004740387
69,141243430.jpg,0,0.11921742
70,123798402.jpg,0,0.01708495
71,156697666.jpg,0,0.0036079974
72,123655821.jpg,0,0.0026479291
73,73469215.jpg,0,0.060153987
74,112484318.jpg,0,0.19513363
75,154779862.jpg,0,0.03648632
76,68127355.jpg,0,0.08617765
77,129779582.jpg,0,0.038189705
78,67445785.jpg,0,0.30945992
79,148598017.jpg,0,0.7173327
80,106582714.jpg,0,0.005085539
81,115857925.jpg,0,0.0024873104
82,141134272.jpg,0,0.016313095
83,145810042.jpg,0,0.0003956548
84,107364165.jpg,0,0.22480202
85,145875539.jpg,0,0.006464623
86,154779879.jpg,0,0.04799134
87,144829617.jpg,0,0.037957758
88,153926251.jpg,0,0.0052782306
89,112956024.jpg,0,0.018379632
90,106534553.jpg,0,0.008264393
91,109517548.jpg,0,0.004972068
92,151187931.jpg,0,0.0039067585
93,106216420.jpg,0,0.19120523
94,105902426.jpg,0,0.040219486
95,107528995.jpg,0,0.07669366
96,134408815.jpg,0,0.0052898577
