,id,Kelp,predictions
0,114119477.jpg,0,0.001135548
1,145421813.jpg,0,0.01875154
2,80860744.jpg,0,0.0077003893
3,146177426.jpg,0,0.25969833
4,145999432.jpg,0,0.04059343
5,126612552.jpg,0,0.01564749
6,142812618.jpg,0,0.027804818
7,109321856.jpg,0,0.039547514
8,145156215.jpg,0,0.1155645
9,152202078.jpg,0,0.028984375
10,107737263.jpg,0,0.047342326
11,141103681.jpg,0,0.0044240155
12,124834630.jpg,0,0.013206232
13,117545135.jpg,0,0.11776363
14,133157330.jpg,0,0.009878909
15,140318727.jpg,0,0.051957294
16,90636136.jpg,0,0.0013896516
17,124352520.jpg,0,0.024427261
18,112461888.jpg,0,0.033479754
19,149356286.jpg,0,0.032264452
20,148597999.jpg,0,0.44871238
21,144012793.jpg,0,0.024058305
22,107290878.jpg,0,0.015359051
23,106585638.jpg,0,0.38479206
24,134408718.jpg,0,0.03033391
25,140492934.jpg,0,0.109592885
26,106959272.jpg,0,0.005818172
27,76713925.jpg,0,0.364445
28,145235398.jpg,0,0.32968447
29,108216098.jpg,0,0.035344645
30,103266930.jpg,0,0.009286996
31,106229479.jpg,0,0.02417142
32,129133706.jpg,0,0.25421396
33,106534520.jpg,0,0.38945135
34,123205301.jpg,0,0.009027707
35,145253598.jpg,0,0.0022547739
36,150482234.jpg,0,0.010313531
37,119030788.jpg,0,0.010375127
38,166956411.jpg,0,0.007114234
39,132516665.jpg,0,0.015049272
40,166958160.jpg,0,0.5391739
41,149395189.jpg,0,0.27470344
42,68127349.jpg,0,0.17106561
43,111587018.jpg,0,0.20561773
44,104495107.jpg,0,0.015146625
45,120641940.jpg,0,0.0032152752
46,76713886.jpg,0,0.035277385
47,161575291.jpg,0,0.49679005
48,69336235.jpg,0,0.035167318
49,145402331.jpg,0,0.0020701725
50,124502241.jpg,0,0.0761724
51,157986855.jpg,0,0.020665772
52,114618439.jpg,0,0.051391155
53,110626566.jpg,0,0.078171186
54,107737294.jpg,0,0.054586697
55,146738466.jpg,0,0.00476923
56,145154095.jpg,0,0.16288
57,105401501.jpg,0,0.0068398993
58,154779878.jpg,0,0.0048591373
59,150515768.jpg,0,0.060718715
60,73563858.jpg,0,0.0069525493
61,146738507.jpg,0,0.06681501
62,148086538.jpg,0,0.021068536
63,124522796.jpg,0,0.035303645
64,163637080.jpg,0,0.12267023
65,110250162.jpg,0,0.41872972
66,105604288.jpg,0,0.053138208
67,88494723.jpg,0,0.11891008
68,113759805.jpg,0,0.0074296915
69,141243430.jpg,0,0.15221965
70,123798402.jpg,0,0.013008853
71,156697666.jpg,0,0.006032805
72,123655821.jpg,0,0.00919561
73,73469215.jpg,0,0.05045979
74,112484318.jpg,0,0.19178754
75,154779862.jpg,0,0.0061638514
76,68127355.jpg,0,0.09678986
77,129779582.jpg,0,0.08401998
78,67445785.jpg,0,0.14295723
79,148598017.jpg,0,0.12251393
80,106582714.jpg,0,0.0015516628
81,115857925.jpg,0,0.0046849167
82,141134272.jpg,0,0.029854314
83,145810042.jpg,0,0.0018623838
84,107364165.jpg,0,0.24568056
85,145875539.jpg,0,0.0030307872
86,154779879.jpg,0,0.02560906
87,144829617.jpg,0,0.19779238
88,153926251.jpg,0,0.0045763575
89,112956024.jpg,0,0.021689888
90,106534553.jpg,0,0.018289363
91,109517548.jpg,0,0.0024813914
92,151187931.jpg,0,0.003267198
93,106216420.jpg,0,0.2651668
94,105902426.jpg,0,0.029921632
95,107528995.jpg,0,0.07200197
96,134408815.jpg,0,0.017368551
97,113635804.jpg,0,0.015949817
98,105295716.jpg,0,0.002694601
99,124526231.jpg,0,0.15664928
100,109358476.jpg,0,0.029941108
101,88494721.jpg,0,0.61450666
102,107941207.jpg,0,0.06740796
103,106842875.jpg,0,0.17138638
104,116052231.jpg,0,0.07937275
105,139611883.jpg,0,0.011123224
106,115987067.jpg,0,0.005752226
107,163283309.jpg,0,0.01062986
108,106308964.jpg,0,0.018578006
109,80860740.jpg,0,0.07247438
110,150519197.jpg,0,0.0028989494
111,161214312.jpg,0,0.005458167
112,117847727.jpg,0,0.00047761324
113,161214684.jpg,0,0.025451249
114,112956020.jpg,0,0.051800296
115,108220244.jpg,0,0.025283922
116,109183837.jpg,0,0.009816757
117,155868703.jpg,0,0.05462257
118,105717741.jpg,0,0.0027099345
119,107209591.jpg,0,0.035106998
120,106110267.jpg,0,0.0019004034
121,143165941.jpg,0,0.054561462
122,95123132.jpg,0,0.002685863
123,139941723.jpg,0,0.25977233
124,135606610.jpg,0,0.007328129
125,111167860.jpg,0,0.005562239
126,135995387.jpg,0,0.0036397495
127,139410107.jpg,0,0.053744376
128,73251143.jpg,0,0.010620346
129,105304081.jpg,0,0.020267595
130,123214773.jpg,0,0.0010710872
131,145497101.jpg,0,0.26015553
132,79112657.jpg,0,0.025851594
133,145155393.jpg,0,0.0099544255
134,130565907.jpg,0,0.0017607034
135,112484312.jpg,1,0.96263206
136,106308968.jpg,1,0.1481847
137,144274944.jpg,1,0.035263978
138,70245789.jpg,1,0.9704353
139,148510239.jpg,1,0.2516453
140,144128398.jpg,1,0.50948703
141,73473799.jpg,1,0.23589993
142,105903250.jpg,1,0.02429009
143,108645346.jpg,1,0.79229784
144,149394815.jpg,1,0.83283633
145,105493599.jpg,1,0.78603566
146,73585290.jpg,1,0.08183918
147,149118446.jpg,1,0.07799287
148,107448954.jpg,1,0.0053665424
149,140214509.jpg,1,0.2726362
150,104075260.jpg,1,0.6948831
151,88494726.jpg,1,0.19789678
152,67782921.jpg,1,0.67898715
153,73473741.jpg,1,0.1682781
154,123485139.jpg,1,0.054002985
155,147522290.jpg,1,0.2912663
156,124226912.jpg,1,0.014422604
157,106060038.jpg,1,0.8833659
158,104175031.jpg,1,0.63266134
159,37984917.jpg,0,0.001665721
160,38044345.jpg,0,0.056935817
161,38084722.jpg,0,0.0009159192
162,38084723.jpg,0,0.0155481575
163,38084724.jpg,0,0.32975066
164,38084727.jpg,0,0.004623442
165,38085035.jpg,0,0.0742416
